linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#001,24,!value,null_check,value,function_parameter,return,,[],NULL,[],[],high,return NULL under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#002,26,size < sizeof(ext4_acl_header),invalid_size,size,function_parameter,return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under invalid_size condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#003,28,((ext4_acl_header *)value)->a_version != cpu_to_le32(EXT4_ACL_VERSION),invalid_version,ext4_acl_header,unknown,return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under invalid_version condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#004,33,count < 0,negative_error,count,ext4_acl_count(size),return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under negative_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#005,35,count == 0,invalid_count,count,ext4_acl_count(size),return,,[],NULL,[],[],medium,return NULL under invalid_count condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#006,38,!acl,null_check,acl,"posix_acl_alloc(count, GFP_NOFS)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#007,43,(char *)value + sizeof(ext4_acl_entry_short) > end,bounds_check,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),"[{""var"": ""acl"", ""acquire_func"": ""posix_acl_alloc"", ""resource_type"": ""posix_acl"", ""release_functions"": [""posix_acl_release"", ""kfree""], ""acquire_line"": 37, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"goto fail under bounds_check condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return; resource acl acquired by posix_acl_alloc before path, released by posix_acl_release(acl) in fail label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#008,59,(char *)value > end,bounds_check,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),"[{""var"": ""acl"", ""acquire_func"": ""posix_acl_alloc"", ""resource_type"": ""posix_acl"", ""release_functions"": [""posix_acl_release"", ""kfree""], ""acquire_line"": 37, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"goto fail under bounds_check condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return; resource acl acquired by posix_acl_alloc before path, released by posix_acl_release(acl) in fail label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#009,67,(char *)value > end,bounds_check,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),"[{""var"": ""acl"", ""acquire_func"": ""posix_acl_alloc"", ""resource_type"": ""posix_acl"", ""release_functions"": [""posix_acl_release"", ""kfree""], ""acquire_line"": 37, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"goto fail under bounds_check condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return; resource acl acquired by posix_acl_alloc before path, released by posix_acl_release(acl) in fail label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#010,78,value != end,state_or_validation_error,value,(char *)value + sizeof(ext4_acl_entry),goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),"[{""var"": ""acl"", ""acquire_func"": ""posix_acl_alloc"", ""resource_type"": ""posix_acl"", ""release_functions"": [""posix_acl_release"", ""kfree""], ""acquire_line"": 37, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"goto fail under state_or_validation_error condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return; resource acl acquired by posix_acl_alloc before path, released by posix_acl_release(acl) in fail label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_acl_to_disk,87,137,ext4_acl_to_disk#001,100,!ext_acl,null_check,ext_acl,kmalloc(sizeof(ext4_acl_header) + acl->a_count *,return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_get_acl,139,181,ext4_get_acl#001,152,rcu,state_or_validation_error,rcu,function_parameter,return,,[],ERR_PTR(-ECHILD),[],[],medium,ERR_PTR return under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_get_acl,139,181,ext4_get_acl#002,168,!value,null_check,value,"kmalloc(retval, GFP_NOFS)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,__ext4_set_acl,183,225,__ext4_set_acl#002,213,IS_ERR(value),err_ptr_check,value,"ext4_acl_to_disk(acl, &size)",return,,[],(int)PTR_ERR(value),[],[],high,return (int)PTR_ERR(value) under err_ptr_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,__ext4_set_acl,183,225,__ext4_set_acl#003,209,,negative_errno_return,unknown,unknown,return,,[],-EINVAL,[],[],high,direct negative_errno_return
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_set_acl,227,270,ext4_set_acl#001,239,error,ret_nonzero,error,dquot_initialize(inode),return,,[],error,[],[],high,return error under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_set_acl,227,270,ext4_set_acl#002,244,error,ret_nonzero,error,"ext4_xattr_set_credits(inode, acl_size, false /* is_create */,",return,,[],error,[],[],high,return error under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_set_acl,227,270,ext4_set_acl#003,248,IS_ERR(handle),err_ptr_check,handle,"ext4_journal_start(inode, EXT4_HT_XATTR, credits)",return,,[],PTR_ERR(handle),[],[],high,PTR_ERR propagation under err_ptr_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_set_acl,227,270,ext4_set_acl#004,253,error,ret_nonzero,error,"posix_acl_update_mode(idmap, inode, &mode, &acl)",goto,out_stop,"[""ext4_journal_stop(handle)"", ""ext4_should_retry_alloc(inode->i_sb, &retries)""]",error,"[{""var"": ""handle"", ""acquire_func"": ""ext4_journal_start"", ""resource_type"": ""journal_handle"", ""release_functions"": [""ext4_journal_stop""], ""acquire_line"": 247, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"goto out_stop under ret_nonzero condition, final return error; resolved label cleanup until return; resource handle acquired by ext4_journal_start before path, released by ext4_journal_stop(handle) in out_stop label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_set_acl,227,270,ext4_set_acl#005,267,"error == -ENOSPC && ext4_should_retry_alloc(inode->i_sb, &retries)",unknown_error_like,error,"ext4_mark_inode_dirty(handle, inode)",goto,retry,[],error,[],[],medium,"goto retry under unknown_error_like condition, final return error; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/acl.c,ext4_init_acl,272,304,ext4_init_acl#001,285,error,ret_nonzero,error,"posix_acl_create(dir, &inode->i_mode, &default_acl, &acl)",return,,[],error,[],[],high,return error under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_init_block_bitmap,181,234,ext4_init_block_bitmap#001,193,"!ext4_group_desc_csum_verify(sb, block_group, gdp)",unknown_error_like,ext4_group_desc_csum_verify,unknown,return,,"[""ext4_mark_group_bitmap_corrupted(sb, block_group, EXT4_GROUP_INFO_BBITMAP_CORRUPT | EXT4_GROUP_INFO_IBITMAP_CORRUPT)""]",-EFSBADCRC,[],[],medium,negative errno return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_init_block_bitmap,181,234,ext4_init_block_bitmap#002,202,(bit_max >> 3) >= bh->b_size,unknown_error_like,bit_max,"ext4_num_base_meta_clusters(sb, block_group)",return,,[],-EFSCORRUPTED,[],[],medium,negative errno return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_get_group_desc,247,308,ext4_get_group_desc#001,279,block_group >= ngroups,unknown_error_like,block_group,function_parameter,return,,"[""ext4_error(sb, \""block_group >= groups_count - block_group = %u,\"" \"" groups_count = %u\"", block_group, ngroups)""]",NULL,[],[],medium,return NULL under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_get_group_desc,247,308,ext4_get_group_desc#002,295,!bh_p,null_check,bh_p,"sbi_array_rcu_deref(sbi, s_group_desc, group_desc)",return,,"[""ext4_error(sb, \""Group descriptor not loaded - \"" \""block_group = %u, group_desc = %u, desc = %u\"", block_group, group_desc, offset)""]",NULL,[],[],high,return NULL under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_get_group_info,326,338,ext4_get_group_info#001,332,unlikely(group >= EXT4_SB(sb)->s_groups_count),unknown_error_like,unlikely,unknown,return,,[],NULL,[],[],medium,return NULL under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_validate_block_bitmap,399,450,ext4_validate_block_bitmap#003,414,!grp || EXT4_MB_GRP_BBITMAP_CORRUPT(grp),unknown_error_like,grp,"ext4_get_group_info(sb, block_group)",return,,[],-EFSCORRUPTED,[],[],medium,negative errno return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_validate_block_bitmap,399,450,ext4_validate_block_bitmap#005,420,"unlikely(!ext4_block_bitmap_csum_verify(sb, desc, bh) || ext4_simulate_fail(sb, EXT4_SIM_BBITMAP_CRC))",unknown_error_like,unlikely,unknown,return,,"[""ext4_unlock_group(sb, block_group)"", ""ext4_error(sb, \""bg %u: bad block bitmap checksum\"", block_group)"", ""ext4_mark_group_bitmap_corrupted(sb, block_group, EXT4_GROUP_INFO_BBITMAP_CORRUPT)""]",-EFSBADCRC,[],[],medium,negative errno return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_validate_block_bitmap,399,450,ext4_validate_block_bitmap#006,429,unlikely(blk != 0),state_or_validation_error,unlikely,unknown,return,,"[""ext4_unlock_group(sb, block_group)"", ""ext4_error(sb, \""bg %u: block %llu: invalid block bitmap\"", block_group, blk)"", ""ext4_mark_group_bitmap_corrupted(sb, block_group, EXT4_GROUP_INFO_BBITMAP_CORRUPT)""]",-EFSCORRUPTED,[],[],high,negative errno return under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_validate_block_bitmap,399,450,ext4_validate_block_bitmap#007,438,unlikely(blk != 0),state_or_validation_error,unlikely,unknown,return,,"[""ext4_unlock_group(sb, block_group)"", ""ext4_error(sb, \""bg %u: block %llu: padding at end of block bitmap is not set\"", block_group, blk)"", ""ext4_mark_group_bitmap_corrupted(sb, block_group, EXT4_GROUP_INFO_BBITMAP_CORRUPT)""]",-EFSCORRUPTED,[],[],high,negative errno return under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_read_block_bitmap_nowait,452,564,ext4_read_block_bitmap_nowait#001,477,!desc,null_check,desc,"ext4_get_group_desc(sb, block_group, NULL)",return,,[],ERR_PTR(-EFSCORRUPTED),[],[],high,ERR_PTR return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_read_block_bitmap_nowait,452,564,ext4_read_block_bitmap_nowait#002,480,(bitmap_blk <= le32_to_cpu(sbi->s_es->s_first_data_block)) || (bitmap_blk >= ext4_blocks_count(sbi->s_es)),unknown_error_like,bitmap_blk,"ext4_block_bitmap(sb, desc)",return,,"[""ext4_error(sb, \""Invalid block bitmap block %llu in \"" \""block_group %u\"", bitmap_blk, block_group)"", ""ext4_mark_group_bitmap_corrupted(sb, block_group, EXT4_GROUP_INFO_BBITMAP_CORRUPT)""]",ERR_PTR(-EFSCORRUPTED),[],[],medium,ERR_PTR return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_read_block_bitmap_nowait,452,564,ext4_read_block_bitmap_nowait#003,489,unlikely(!bh),unknown_error_like,unlikely,unknown,return,,"[""ext4_warning(sb, \""Cannot get buffer for block bitmap - \"" \""block_group = %u, block_bitmap = %llu\"", block_group, bitmap_blk)""]",ERR_PTR(-ENOMEM),[],[],medium,ERR_PTR return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/balloc.c,ext4_read_block_bitmap_nowait,452,564,ext4_read_block_bitmap_nowait#004,496,ignore_locked && buffer_locked(bh),unknown_error_like,ignore_locked,function_parameter,return,,"[""put_bh(bh)""]",NULL,[],[],medium,return NULL under unknown_error_like condition
