linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/acl.c,btrfs_get_acl,18,55,btrfs_get_acl#001,25,rcu,state_or_validation_error,rcu,function_parameter,return,,[],ERR_PTR(-ECHILD),[],[],medium,ERR_PTR return under state_or_validation_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/acl.c,btrfs_get_acl,18,55,btrfs_get_acl#002,36,,err_ptr_return,unknown,unknown,return,,[],ERR_PTR(-EINVAL),[],[],high,direct err_ptr_return
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/acl.c,btrfs_get_acl,18,55,btrfs_get_acl#003,42,!value,null_check,value,"kzalloc(size, GFP_KERNEL)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/acl.c,__btrfs_set_acl,57,110,__btrfs_set_acl#002,74,,negative_errno_return,unknown,unknown,return,,[],-EINVAL,[],[],high,direct negative_errno_return
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/acl.c,__btrfs_set_acl,57,110,__btrfs_set_acl#003,88,!value,null_check,value,"kmalloc(size, GFP_KERNEL)",goto,out,"[""kfree(value)"", ""set_cached_acl(inode, type, acl)""]",ret,[],[],high,"goto out under null_check condition, final return ret; resolved label cleanup until return"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/acl.c,__btrfs_set_acl,57,110,__btrfs_set_acl#004,94,ret < 0,negative_error,ret,"posix_acl_to_xattr(&init_user_ns, acl, value, size)",goto,out,"[""kfree(value)"", ""set_cached_acl(inode, type, acl)""]",ret,"[{""var"": ""value"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 86, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under negative_error condition, final return ret; resolved label cleanup until return; resource value acquired by kmalloc before path, released by kfree(value) in out label"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/acl.c,btrfs_set_acl,112,129,btrfs_set_acl#001,122,ret,ret_nonzero,ret,"posix_acl_update_mode(idmap, inode,",return,,[],ret,[],[],high,return ret under ret_nonzero condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/async-thread.c,btrfs_alloc_workqueue,84,121,btrfs_alloc_workqueue#001,90,!ret,null_check,ret,"kzalloc(sizeof(*ret), GFP_KERNEL)",return,,[],NULL,[],[],high,return NULL under null_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/async-thread.c,btrfs_alloc_workqueue,84,121,btrfs_alloc_workqueue#002,114,!ret->normal_wq,null_check,ret->normal_wq,"alloc_workqueue(""btrfs-%s"", flags, ret->current_active,",return,,"[""kfree(ret)""]",NULL,"[{""var"": ""ret"", ""acquire_func"": ""kzalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 88, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"return NULL under null_check condition; resource ret acquired by kzalloc before path, released by kfree(ret)"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/async-thread.c,btrfs_alloc_ordered_workqueue,123,148,btrfs_alloc_ordered_workqueue#001,130,!ret,null_check,ret,"kzalloc(sizeof(*ret), GFP_KERNEL)",return,,[],NULL,[],[],high,return NULL under null_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/async-thread.c,btrfs_alloc_ordered_workqueue,123,148,btrfs_alloc_ordered_workqueue#002,141,!ret->normal_wq,null_check,ret->normal_wq,"alloc_ordered_workqueue(""btrfs-%s"", flags, name)",return,,"[""kfree(ret)""]",NULL,"[{""var"": ""ret"", ""acquire_func"": ""kzalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 129, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"return NULL under null_check condition; resource ret acquired by kzalloc before path, released by kfree(ret)"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/btrfs/async-thread.c,thresh_exec_hook,167,208,thresh_exec_hook#002,184,!wq->count,null_check,wq->count,unknown,goto,out,"[""spin_unlock(&wq->thres_lock)"", ""workqueue_set_max_active(wq->normal_wq, wq->current_active)""]",unknown,"[{""var"": ""&wq->thres_lock"", ""acquire_func"": ""spin_lock"", ""resource_type"": ""spinlock"", ""release_functions"": [""spin_unlock""], ""acquire_line"": 177, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under null_check condition, final return unknown; label found but no return reached; resource &wq->thres_lock acquired by spin_lock before path, released by spin_unlock(&wq->thres_lock) in out label"
