linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_count,29,44,f2fs_acl_count#001,35,s < 0,negative_error,s,size - 4 * sizeof(struct f2fs_acl_entry_short),return,,[],size / sizeof(struct f2fs_acl_entry_short),[],[],medium,return size / sizeof(struct f2fs_acl_entry_short) under negative_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_count,29,44,f2fs_acl_count#002,35,s < 0,negative_error,s,size - 4 * sizeof(struct f2fs_acl_entry_short),return,,[],s / sizeof(struct f2fs_acl_entry) + 4,[],[],medium,return s / sizeof(struct f2fs_acl_entry) + 4 under negative_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_from_disk,46,111,f2fs_acl_from_disk#001,54,size < sizeof(struct f2fs_acl_header),invalid_size,size,function_parameter,return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under invalid_size condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_from_disk,46,111,f2fs_acl_from_disk#002,57,hdr->a_version != cpu_to_le32(F2FS_ACL_VERSION),invalid_version,hdr,(struct f2fs_acl_header *)value,return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under invalid_version condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_from_disk,46,111,f2fs_acl_from_disk#003,61,count < 0,negative_error,count,f2fs_acl_count(size),return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under negative_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_from_disk,46,111,f2fs_acl_from_disk#004,63,count == 0,invalid_count,count,f2fs_acl_count(size),return,,[],NULL,[],[],medium,return NULL under invalid_count condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_from_disk,46,111,f2fs_acl_from_disk#005,67,!acl,null_check,acl,"posix_acl_alloc(count, GFP_NOFS)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_from_disk,46,111,f2fs_acl_from_disk#006,72,(char *)entry > end,bounds_check,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),[],[],high,"goto fail under bounds_check condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_from_disk,46,111,f2fs_acl_from_disk#007,105,(char *)entry != end,state_or_validation_error,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),[],[],high,"goto fail under state_or_validation_error condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_to_disk,113,166,f2fs_acl_to_disk#001,123,!f2fs_acl,null_check,f2fs_acl,"f2fs_kmalloc(sbi, sizeof(struct f2fs_acl_header) +",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,__f2fs_get_acl,168,197,__f2fs_get_acl#001,182,!value,null_check,value,"f2fs_kmalloc(F2FS_I_SB(inode), retval, GFP_F2FS_ZERO)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_get_acl,199,205,f2fs_get_acl#001,201,rcu,state_or_validation_error,rcu,function_parameter,return,,[],ERR_PTR(-ECHILD),[],[],medium,ERR_PTR return under state_or_validation_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_acl_update_mode,207,226,f2fs_acl_update_mode#001,218,error < 0,negative_error,error,"posix_acl_equiv_mode(*acl, &mode)",return,,[],error,[],[],high,return error under negative_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,__f2fs_set_acl,228,276,__f2fs_set_acl#001,244,error,ret_nonzero,error,"f2fs_acl_update_mode(idmap, inode,",return,,[],error,[],[],high,return error under ret_nonzero condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,__f2fs_set_acl,228,276,__f2fs_set_acl#003,257,,negative_errno_return,unknown,unknown,return,,[],-EINVAL,[],[],high,direct negative_errno_return
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,__f2fs_set_acl,228,276,__f2fs_set_acl#004,262,IS_ERR(value),err_ptr_check,value,"f2fs_acl_to_disk(F2FS_I_SB(inode), acl, &size)",return,,"[""clear_inode_flag(inode, FI_ACL_MODE)""]",PTR_ERR(value),[],[],high,PTR_ERR propagation under err_ptr_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/acl.c,f2fs_set_acl,278,287,f2fs_set_acl#001,283,f2fs_cp_error(F2FS_I_SB(inode)),unknown_error_like,f2fs_cp_error,unknown,return,,[],-EIO,[],[],medium,negative errno return under unknown_error_like condition
