linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,xfs_acl_from_disk,1,95,xfs_acl_from_disk#001,42,len < sizeof(*aclp),invalid_size,len,function_parameter,return,,"[""XFS_CORRUPTION_ERROR(__func__, XFS_ERRLEVEL_LOW, mp, aclp, len)""]",ERR_PTR(-EFSCORRUPTED),[],[],high,ERR_PTR return under invalid_size condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,xfs_acl_from_disk,1,95,xfs_acl_from_disk#002,49,count > max_entries || XFS_ACL_SIZE(count) != len,state_or_validation_error,count,be32_to_cpu(aclp->acl_cnt),return,,"[""XFS_CORRUPTION_ERROR(__func__, XFS_ERRLEVEL_LOW, mp, aclp, len)""]",ERR_PTR(-EFSCORRUPTED),[],[],high,ERR_PTR return under state_or_validation_error condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,xfs_acl_from_disk,1,95,xfs_acl_from_disk#003,56,!acl,null_check,acl,"posix_acl_alloc(count, GFP_KERNEL)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,xfs_get_acl,128,172,xfs_get_acl#001,141,rcu,state_or_validation_error,rcu,function_parameter,return,,[],ERR_PTR(-ECHILD),[],[],medium,ERR_PTR return under state_or_validation_error condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,__xfs_set_acl,174,217,__xfs_set_acl#002,201,!args.value,null_check,args.value,"kvzalloc(args.valuelen, GFP_KERNEL)",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,__xfs_set_acl,174,217,__xfs_set_acl#003,194,,negative_errno_return,unknown,unknown,return,,[],-EINVAL,[],[],high,direct negative_errno_return
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,xfs_acl_set_mode,219,242,xfs_acl_set_mode#001,230,error,ret_nonzero,error,"xfs_trans_alloc(mp, &M_RES(mp)->tr_ichange, 0, 0, 0, &tp)",return,,[],error,[],[],high,return error under ret_nonzero condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,xfs_set_acl,244,277,xfs_set_acl#001,253,!acl,null_check,acl,function_parameter,goto,set_acl,"[""__xfs_set_acl(inode, acl, type)"", ""xfs_acl_set_mode(inode, mode)""]",error,[],[],high,"goto set_acl under null_check condition, final return error; resolved label cleanup until return"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,xfs_set_acl,244,277,xfs_set_acl#002,257,acl->a_count > XFS_ACL_MAX_ENTRIES(XFS_M(inode->i_sb)),unknown_error_like,acl,function_parameter,return,,[],error,[],[],medium,return error under unknown_error_like condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_acl.c,xfs_set_acl,244,277,xfs_set_acl#003,262,error,ret_nonzero,error,"posix_acl_update_mode(idmap, inode, &mode, &acl)",return,,[],error,[],[],high,return error under ret_nonzero condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_aops.c,xfs_setfilesize,44,77,xfs_setfilesize#001,59,error,ret_nonzero,error,"xfs_trans_alloc(mp, &M_RES(mp)->tr_fsyncts, 0, 0, 0, &tp)",return,,[],error,[],[],high,return error under ret_nonzero condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_aops.c,xfs_setfilesize,44,77,xfs_setfilesize#002,64,!isize,null_check,isize,"xfs_new_eof(ip, offset + size)",return,,"[""xfs_iunlock(ip, XFS_ILOCK_EXCL)"", ""xfs_trans_cancel(tp)""]",0,"[{""var"": ""tp"", ""acquire_func"": ""xfs_trans_alloc"", ""resource_type"": ""xfs_transaction"", ""release_functions"": [""xfs_trans_cancel"", ""xfs_trans_commit""], ""acquire_line"": 58, ""out_resource_arg"": 5, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}, {""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 62, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"return 0 under null_check condition; resource tp acquired by xfs_trans_alloc before path, released by xfs_trans_cancel(tp); resource ip acquired by xfs_ilock before path, released by xfs_iunlock(ip, XFS_ILOCK_EXCL)"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_aops.c,xfs_imap_valid,194,234,xfs_imap_valid#003,222,XFS_WPC(wpc)->data_seq != READ_ONCE(ip->i_df.if_seq),state_or_validation_error,XFS_WPC,unknown,return,,"[""trace_xfs_wb_data_iomap_invalid(ip, &wpc->iomap, XFS_WPC(wpc)->data_seq, XFS_DATA_FORK)""]",false,[],[],medium,return false under state_or_validation_error condition
