candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,score_explanation,missing_evidence,final_return_expr
candidate_3616189d4fe8,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1784,error_swallowed,P1,E2_API_PROTOCOL_SUPPORTED,100,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""error_swallowed final return 0 +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_b068068e4066,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1798,error_swallowed,P1,E2_API_PROTOCOL_SUPPORTED,100,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""error_swallowed final return 0 +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_7acfe7ef5393,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1819,error_swallowed,P1,E2_API_PROTOCOL_SUPPORTED,100,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""error_swallowed final return 0 +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_8d77ec05c601,fs/ext4/fast_commit.c,__track_dentry_update,446,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,90,"[""memory.kmalloc.kzalloc.kcalloc.kmem_cache_alloc.kfree"", ""lock.mutex_lock.unlock""]","[""kfree"", ""mutex_unlock""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_1e1904e8f4a4,fs/ext4/fast_commit.c,__track_dentry_update,448,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,90,"[""memory.kmalloc.kzalloc.kcalloc.kmem_cache_alloc.kfree"", ""lock.mutex_lock.unlock"", ""memory.kmalloc.kzalloc.kcalloc.kmem_cache_alloc.kfree""]","[""kfree"", ""mutex_unlock"", ""kfree""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_4ac7c3860fef,fs/ext4/fast_commit.c,__track_dentry_update,437,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.mutex_lock.unlock""]","[""mutex_unlock""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_59c75d72f5d2,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1784,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_813eda9f7b48,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1789,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_5f363738f10c,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1789,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_88c31b863ffb,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1798,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_9dc5a35e7cb6,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1819,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_29e5d312eae4,fs/ext4/indirect.c,ext4_ind_truncate_ensure_credits,744,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_cc89b2612675,fs/ext4/indirect.c,ext4_ind_truncate_ensure_credits,746,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_0ddbcc320d30,fs/ext4/indirect.c,ext4_ind_truncate_ensure_credits,750,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_23d99214105d,fs/ext4/inode.c,ext4_map_blocks,578,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_read.up_read""]","[""up_read""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_0d06afb905be,fs/ext4/inode.c,ext4_map_blocks,580,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_read.up_read""]","[""up_read""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_8beac0dad5a9,fs/ext4/inode.c,ext4_map_blocks,585,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_read.up_read""]","[""up_read""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",retval
candidate_fa070018d739,fs/ext4/inode.c,ext4_map_blocks,595,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_read.up_read""]","[""up_read""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",retval
candidate_d80a3f83d717,fs/ext4/inode.c,ext4_map_blocks,601,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_read.up_read""]","[""up_read""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",retval
candidate_e7731327093f,fs/ext4/inode.c,ext4_map_blocks,637,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_3444557dfaf7,fs/ext4/inode.c,ext4_map_blocks,655,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_f4349d41e0ab,fs/ext4/inode.c,ext4_map_blocks,660,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.down_write.up_write""]","[""up_write""]",false,[],false,false,,,,,0,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
