linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/acl.c,btrfs_get_acl,1,56,btrfs_get_acl#001,26,rcu,state_or_validation_error,rcu,function_parameter,return,,[],ERR_PTR(-ECHILD),[],[],medium,ERR_PTR return under state_or_validation_error condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/acl.c,btrfs_get_acl,1,56,btrfs_get_acl#002,43,!value,null_check,value,"kzalloc(size, GFP_KERNEL)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/acl.c,btrfs_get_acl,1,56,btrfs_get_acl#003,37,,err_ptr_return,unknown,unknown,return,,[],ERR_PTR(-EINVAL),[],[],high,direct err_ptr_return
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/acl.c,__btrfs_set_acl,58,111,__btrfs_set_acl#002,89,!value,null_check,value,"kmalloc(size, GFP_KERNEL)",goto,out,"[""kfree(value)"", ""set_cached_acl(inode, type, acl)""]",ret,[],[],high,"goto out under null_check condition, final return ret; resolved label cleanup until return"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/acl.c,__btrfs_set_acl,58,111,__btrfs_set_acl#003,95,ret < 0,negative_error,ret,"posix_acl_to_xattr(&init_user_ns, acl, value, size)",goto,out,"[""kfree(value)"", ""set_cached_acl(inode, type, acl)""]",ret,"[{""var"": ""value"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 87, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"goto out under negative_error condition, final return ret; resolved label cleanup until return; resource value acquired by kmalloc before path, released by kfree(value) in out label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/acl.c,__btrfs_set_acl,58,111,__btrfs_set_acl#004,75,,negative_errno_return,unknown,unknown,return,,[],-EINVAL,[],[],high,direct negative_errno_return
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/acl.c,btrfs_set_acl,113,130,btrfs_set_acl#001,123,ret,ret_nonzero,ret,"posix_acl_update_mode(idmap, inode,",return,,[],ret,[],[],high,return ret under ret_nonzero condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_alloc_workqueue,85,122,btrfs_alloc_workqueue#001,91,!ret,null_check,ret,"kzalloc(sizeof(*ret), GFP_KERNEL)",return,,[],NULL,[],[],high,return NULL under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_alloc_workqueue,85,122,btrfs_alloc_workqueue#002,115,!ret->normal_wq,null_check,ret->normal_wq,"alloc_workqueue(""btrfs-%s"", flags, ret->current_active,",return,,"[""kfree(ret)""]",NULL,"[{""var"": ""ret"", ""acquire_func"": ""kzalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 89, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"return NULL under null_check condition; resource ret acquired by kzalloc before path, released by kfree(ret)"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_alloc_ordered_workqueue,124,149,btrfs_alloc_ordered_workqueue#001,131,!ret,null_check,ret,"kzalloc(sizeof(*ret), GFP_KERNEL)",return,,[],NULL,[],[],high,return NULL under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_alloc_ordered_workqueue,124,149,btrfs_alloc_ordered_workqueue#002,142,!ret->normal_wq,null_check,ret->normal_wq,"alloc_ordered_workqueue(""btrfs-%s"", flags, name)",return,,"[""kfree(ret)""]",NULL,"[{""var"": ""ret"", ""acquire_func"": ""kzalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 130, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"return NULL under null_check condition; resource ret acquired by kzalloc before path, released by kfree(ret)"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,thresh_exec_hook,163,209,thresh_exec_hook#002,185,!wq->count,null_check,wq->count,unknown,goto,out,"[""spin_unlock(&wq->thres_lock)"", ""workqueue_set_max_active(wq->normal_wq, wq->current_active)""]",unknown,"[{""var"": ""&wq->thres_lock"", ""acquire_func"": ""spin_lock"", ""resource_type"": ""spinlock"", ""release_functions"": [""spin_unlock""], ""acquire_line"": 178, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"goto out under null_check condition, final return unknown; label found but no return reached; resource &wq->thres_lock acquired by spin_lock before path, released by spin_unlock(&wq->thres_lock) in out label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_destroy_workqueue,357,364,btrfs_destroy_workqueue#001,359,!wq,null_check,wq,function_parameter,return,,[],unknown,[],[],high,return unknown under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,check_extent_in_eb,35,92,check_extent_in_eb#002,62,!ctx->indirect_ref_iterator || !ctx->cache_lookup,unknown_error_like,ctx,function_parameter,goto,add_inode_elem,"[""kmalloc(sizeof(*e), GFP_NOFS)""]",-ENOMEM,[],[],medium,"goto add_inode_elem under unknown_error_like condition, final return -ENOMEM; resolved label cleanup until return"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,check_extent_in_eb,35,92,check_extent_in_eb#003,67,!cached,null_check,cached,"ctx->cache_lookup(eb->start, ctx->user_ctx, &root_ids,",goto,add_inode_elem,"[""kmalloc(sizeof(*e), GFP_NOFS)""]",-ENOMEM,[],[],high,"goto add_inode_elem under null_check condition, final return -ENOMEM; resolved label cleanup until return"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,check_extent_in_eb,35,92,check_extent_in_eb#004,76,ret,ret_nonzero,ret,"ctx->indirect_ref_iterator(key->objectid, offset,",return,,[],ret,[],[],high,return ret under ret_nonzero condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,check_extent_in_eb,35,92,check_extent_in_eb#005,82,!e,null_check,e,"kmalloc(sizeof(*e), GFP_NOFS)",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,find_extent_in_eb,104,141,find_extent_in_eb#001,136,ret == BTRFS_ITERATE_EXTENT_INODES_STOP || ret < 0,unknown_error_like,ret,"check_extent_in_eb(ctx, &key, eb, fi, eie)",return,,[],ret,[],[],medium,return ret under unknown_error_like condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,btrfs_prelim_ref_init,198,208,btrfs_prelim_ref_init#001,205,!btrfs_prelim_ref_cache,null_check,btrfs_prelim_ref_cache,"kmem_cache_create(""btrfs_prelim_ref"",",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,add_prelim_ref,353,419,add_prelim_ref#002,403,!ref,null_check,ref,"kmem_cache_alloc(btrfs_prelim_ref_cache, gfp_mask)",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,add_all_parents,471,588,add_all_parents#001,490,level != 0,state_or_validation_error,level,function_parameter,return,,"[""ulist_add(parents, eb->start, 0, GFP_NOFS)""]",0,[],[],medium,return 0 under state_or_validation_error condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,add_all_parents,471,588,add_all_parents#002,493,ret < 0,negative_error,ret,"ulist_add(parents, eb->start, 0, GFP_NOFS)",return,,[],ret,[],[],high,return ret under negative_error condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,add_all_parents,471,588,add_all_parents#003,544,type == BTRFS_FILE_EXTENT_INLINE,unknown_error_like,type,"btrfs_file_extent_type(eb, fi)",goto,next,"[""btrfs_next_item(root, path)"", ""btrfs_next_old_item(root, path, ctx->time_seq)"", ""free_inode_elem_list(eie)""]",ret,[],[],medium,"goto next under unknown_error_like condition, final return ret; resolved label cleanup until return"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,add_all_parents,471,588,add_all_parents#004,552,ref->key_for_search.offset == key.offset - data_offset,unknown_error_like,ref,function_parameter,goto,next,"[""btrfs_next_item(root, path)"", ""btrfs_next_old_item(root, path, ctx->time_seq)"", ""free_inode_elem_list(eie)""]",ret,[],[],medium,"goto next under unknown_error_like condition, final return ret; resolved label cleanup until return"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,add_all_parents,471,588,add_all_parents#005,562,ret > 0,unknown_error_like,ret,"check_extent_in_eb(ctx, &key, eb, fi, &eie)",goto,next,"[""btrfs_next_item(root, path)"", ""btrfs_next_old_item(root, path, ctx->time_seq)"", ""free_inode_elem_list(eie)""]",ret,[],[],medium,"goto next under unknown_error_like condition, final return ret; resolved label cleanup until return"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_ref,590,697,resolve_indirect_ref#001,618,IS_ERR(root),err_ptr_check,root,"btrfs_get_fs_root(ctx->fs_info, ref->root_id, false)",goto,out_free,"[""PTR_ERR(root)"", ""btrfs_release_path(path)""]",ret,[],[],high,"goto out_free under err_ptr_check condition, final return ret; resolved label cleanup until return"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_ref,590,697,resolve_indirect_ref#002,623,"!path->search_commit_root && test_bit(BTRFS_ROOT_DELETING, &root->state)",unknown_error_like,path,function_parameter,goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 617, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_ref,590,697,resolve_indirect_ref#003,629,btrfs_is_testing(ctx->fs_info),unknown_error_like,btrfs_is_testing,unknown,goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 617, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_ref,590,697,resolve_indirect_ref#004,641,root_level + 1 == level,unknown_error_like,root_level,"btrfs_old_root_level(root, ctx->time_seq)",goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 617, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_ref,590,697,resolve_indirect_ref#005,677,ret < 0,negative_error,ret,"btrfs_search_old_slot(root, &search_key, path, ctx->time_seq)",goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 617, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],high,"goto out under negative_error condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_ref,590,697,resolve_indirect_ref#006,682,WARN_ON(!level),unknown_error_like,WARN_ON,unknown,goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 617, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,unode_aux_to_inode_list,699,705,unode_aux_to_inode_list#001,702,!node,null_check,node,function_parameter,return,,[],NULL,[],[],high,return NULL under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_refs,719,835,resolve_indirect_refs#001,748,!parents,null_check,parents,ulist_alloc(GFP_NOFS),return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_refs,719,835,resolve_indirect_refs#002,761,"WARN(ref->parent, ""BUG: direct ref found in indirect tree"")",unknown_error_like,WARN,unknown,goto,out,"[""free_leaf_list(parents)""]",ret,"[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free"", ""free_leaf_list""], ""acquire_line"": 747, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource parents acquired by ulist_alloc before path, released by free_leaf_list(parents) in out label"
